date,风电设备,农化制品,化学纤维,电池,煤炭开采加工,化学原料,电力,光伏设备,厨卫电器,医疗服务,养殖业,建筑装饰,医疗器械,生物制品,化学制药,互联网电商,农产品加工,塑料制品,橡胶制品,旅游及酒店,小家电,银行,环保设备,公路铁路运输,化学制品,黑色家电,造纸,贸易,环境治理,种植业与林业,中药,非金属材料,综合,房地产,能源金属,服装家纺,医药商业,元件,通信服务,家居用品,汽车服务及其他,计算机设备,汽车整车,饮料制造,白酒,纺织制造,软件开发,轨交设备,教育,物流,电子化学品,IT服务,美容护理,包装印刷,通信设备,其他社会服务,食品加工制造,证券,电网设备,建筑材料,钢铁,零售,电机,其他电子,白色家电,汽车零部件,消费电子,其他电源设备,通用设备,游戏,文化传媒,光学光电子,专用设备,多元金融,自动化设备,保险,工程机械,半导体,燃气,港口航运,机场航运,影视院线,工业金属,石油加工贸易,军工电子,金属新材料,贵金属,军工装备,油气开采及服务,小金属
2026-03-14 06:55:19.150066,9.16,30.95,5.14,-0.06,-4.78,22.75,15.19,20.74,-0.18,5.59,25.77,6.58,6.63,9.74,40.36,2.64,12.19,0.15,-0.22,4.97,0.2,-1.83,1.48,2.9,28.18,-2.83,1.84,2.25,5.96,6.17,8.56,2.58,-4.71,8.31,-11.25,5.58,2.56,-13.61,-3.04,0.82,2.82,-1.69,-3.61,9.76,6.22,1.72,28.91,1.19,0.53,5.78,-12.56,8.54,3.01,-0.15,-53.48,1.42,10.47,38.33,22.02,-4.18,-6.35,3.68,0.95,24.54,5.72,25.93,4.65,11.48,-10.94,-1.38,-6.27,-27.56,-9.6,8.05,9.29,3.3,4.39,-18.03,-7.61,-5.8,4.96,1.18,-49.9,-6.42,-3.29,-3.61,-3.09,7.98,-12.42,-16.83
2026-03-14 07:55:06.777447,9.16,30.95,5.14,-0.06,-4.78,22.75,15.19,20.74,-0.18,5.59,25.77,6.58,6.63,9.74,40.36,2.64,12.19,0.15,-0.22,4.97,0.2,-1.83,1.48,2.9,28.18,-2.83,1.84,2.25,5.96,6.17,8.56,2.58,-4.71,8.31,-11.25,5.58,2.56,-13.61,-3.04,0.82,2.82,-1.69,-3.61,9.76,6.22,1.72,28.91,1.19,0.53,5.78,-12.56,8.54,3.01,-0.15,-53.48,1.42,10.47,38.33,22.02,-4.18,-6.35,3.68,0.95,24.54,5.72,25.93,4.65,11.48,-10.94,-1.38,-6.27,-27.56,-9.6,8.05,9.29,3.3,4.39,-18.03,-7.61,-5.8,4.96,1.18,-49.9,-6.42,-3.29,-3.61,-3.09,7.98,-12.42,-16.83
2026-03-14 08:29:09.006397,9.16,30.95,5.14,-0.06,-4.78,22.75,15.19,20.74,-0.18,5.59,25.77,6.58,6.63,9.74,40.36,2.64,12.19,0.15,-0.22,4.97,0.2,-1.83,1.48,2.9,28.18,-2.83,1.84,2.25,5.96,6.17,8.56,2.58,-4.71,8.31,-11.25,5.58,2.56,-13.61,-3.04,0.82,2.82,-1.69,-3.61,9.76,6.22,1.72,28.91,1.19,0.53,5.78,-12.56,8.54,3.01,-0.15,-53.48,1.42,10.47,38.33,22.02,-4.18,-6.35,3.68,0.95,24.54,5.72,25.93,4.65,11.48,-10.94,-1.38,-6.27,-27.56,-9.6,8.05,9.29,3.3,4.39,-18.03,-7.61,-5.8,4.96,1.18,-49.9,-6.42,-3.29,-3.61,-3.09,7.98,-12.42,-16.83
2026-03-14 09:12:34.816875,9.16,30.95,5.14,-0.06,-4.78,22.75,15.19,20.74,-0.18,5.59,25.77,6.58,6.63,9.74,40.36,2.64,12.19,0.15,-0.22,4.97,0.2,-1.83,1.48,2.9,28.18,-2.83,1.84,2.25,5.96,6.17,8.56,2.58,-4.71,8.31,-11.25,5.58,2.56,-13.61,-3.04,0.82,2.82,-1.69,-3.61,9.76,6.22,1.72,28.91,1.19,0.53,5.78,-12.56,8.54,3.01,-0.15,-53.48,1.42,10.47,38.33,22.02,-4.18,-6.35,3.68,0.95,24.54,5.72,25.93,4.65,11.48,-10.94,-1.38,-6.27,-27.56,-9.6,8.05,9.29,3.3,4.39,-18.03,-7.61,-5.8,4.96,1.18,-49.9,-6.42,-3.29,-3.61,-3.09,7.98,-12.42,-16.83
2026-03-14 09:24:46.936685,9.16,30.95,5.14,-0.06,-4.78,22.75,15.19,20.74,-0.18,5.59,25.77,6.58,6.63,9.74,40.36,2.64,12.19,0.15,-0.22,4.97,0.2,-1.83,1.48,2.9,28.18,-2.83,1.84,2.25,5.96,6.17,8.56,2.58,-4.71,8.31,-11.25,5.58,2.56,-13.61,-3.04,0.82,2.82,-1.69,-3.61,9.76,6.22,1.72,28.91,1.19,0.53,5.78,-12.56,8.54,3.01,-0.15,-53.48,1.42,10.47,38.33,22.02,-4.18,-6.35,3.68,0.95,24.54,5.72,25.93,4.65,11.48,-10.94,-1.38,-6.27,-27.56,-9.6,8.05,9.29,3.3,4.39,-18.03,-7.61,-5.8,4.96,1.18,-49.9,-6.42,-3.29,-3.61,-3.09,7.98,-12.42,-16.83
2026-03-14 09:54:18.425038,9.16,30.95,5.14,-0.06,-4.78,22.75,15.19,20.74,-0.18,5.59,25.77,6.58,6.63,9.74,40.36,2.64,12.19,0.15,-0.22,4.97,0.2,-1.83,1.48,2.9,28.18,-2.83,1.84,2.25,5.96,6.17,8.56,2.58,-4.71,8.31,-11.25,5.58,2.56,-13.61,-3.04,0.82,2.82,-1.69,-3.61,9.76,6.22,1.72,28.91,1.19,0.53,5.78,-12.56,8.54,3.01,-0.15,-53.48,1.42,10.47,38.33,22.02,-4.18,-6.35,3.68,0.95,24.54,5.72,25.93,4.65,11.48,-10.94,-1.38,-6.27,-27.56,-9.6,8.05,9.29,3.3,4.39,-18.03,-7.61,-5.8,4.96,1.18,-49.9,-6.42,-3.29,-3.61,-3.09,7.98,-12.42,-16.83
2026-03-15 06:20:07.624611,9.16,30.95,5.14,-0.06,-4.78,22.75,15.19,20.74,-0.18,5.59,25.77,6.58,6.63,9.74,40.36,2.64,12.19,0.15,-0.22,4.97,0.2,-1.83,1.48,2.9,28.18,-2.83,1.84,2.25,5.96,6.17,8.56,2.58,-4.71,8.31,-11.25,5.58,2.56,-13.61,-3.04,0.82,2.82,-1.69,-3.61,9.76,6.22,1.72,28.91,1.19,0.53,5.78,-12.56,8.54,3.01,-0.15,-53.48,1.42,10.47,38.33,22.02,-4.18,-6.35,3.68,0.95,24.54,5.72,25.93,4.65,11.48,-10.94,-1.38,-6.27,-27.56,-9.6,8.05,9.29,3.3,4.39,-18.03,-7.61,-5.8,4.96,1.18,-49.9,-6.42,-3.29,-3.61,-3.09,7.98,-12.42,-16.83
2026-03-15 12:35:12.384425,9.16,30.95,5.14,-0.06,-4.78,22.75,15.19,20.74,-0.18,5.59,25.77,6.58,6.63,9.74,40.36,2.64,12.19,0.15,-0.22,4.97,0.2,-1.83,1.48,2.9,28.18,-2.83,1.84,2.25,5.96,6.17,8.56,2.58,-4.71,8.31,-11.25,5.58,2.56,-13.61,-3.04,0.82,2.82,-1.69,-3.61,9.76,6.22,1.72,28.91,1.19,0.53,5.78,-12.56,8.54,3.01,-0.15,-53.48,1.42,10.47,38.33,22.02,-4.18,-6.35,3.68,0.95,24.54,5.72,25.93,4.65,11.48,-10.94,-1.38,-6.27,-27.56,-9.6,8.05,9.29,3.3,4.39,-18.03,-7.61,-5.8,4.96,1.18,-49.9,-6.42,-3.29,-3.61,-3.09,7.98,-12.42,-16.83
2026-03-16 12:50:16.135210,-0.21,-21.07,-5.02,39.45,7.57,-58.92,-1.41,28.97,0.15,-3.34,-1.04,-16.19,-8.32,-0.19,-8.91,0.27,2.12,-3.92,0.52,-3.92,-1.61,-17.44,0.38,-1.26,-21.1,-2.23,-3.77,-1.78,-3.78,-13.03,-1.51,-0.72,6.25,-12.84,4.27,-3.71,-1.61,-29.6,40.05,-3.14,-2.25,11.56,23.72,-3.18,-6.04,-0.98,18.56,-2.56,0.4,-6.48,-6.77,47.6,-3.27,-2.88,-62.15,-0.55,0.12,-30.02,-11.57,-8.42,-7.27,-12.4,-3.03,-3.59,-9.41,-35.44,-29.79,-4.68,-26.94,3.36,2.31,-28.28,-21.18,-6.3,-12.71,-2.45,-9.55,-7.33,-10.08,-29.02,-9.58,-2.4,-23.99,-10.76,-9.96,-7.72,3.37,-47.16,-43.26,-15.67
2026-03-18 06:03:15.890959,15.02,7.49,6.31,137.53,13.87,23.35,49.21,36.94,-0.63,-6.33,1.6,20.66,2.09,-3.62,-8.08,-1.42,-1.1,3.77,-1.23,-3.63,-0.76,33.75,-0.02,6.56,13.72,6.45,-1.1,-1.16,-2.96,-5.46,-3.39,-2.45,-21.42,1.64,4.66,-2.51,-1.28,-38.78,-27.63,-5.15,0.6,-3.1,19.86,-1.11,-1.75,0.01,-37.26,3.25,-2.2,-0.96,-8.06,-39.07,-0.61,-7.58,-63.12,-2.44,-3.44,2.77,-66.74,-8.59,-5.24,-4.79,-5.66,-16.99,-3.87,-27.63,-14.56,-17.55,-57.91,-19.26,-30.67,10.54,-23.58,-2.36,-2.58,-0.66,-0.72,-93.82,-5.74,-5.62,-8.68,-9.92,-12.23,-1.52,-25.62,-10.86,-12.09,-83.55,8.35,-52.63
